번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1105707,미디어학과,20130607,2011,영국의 인도 통치 정책,2004,조길태,민음사,954.0941 조18영
AJ1105707,미디어학과,20130607,2011,인도사,1994,조길태,민음사,954 조18인
AJ1102046,전자공학전공,20111212,2008,살아있는 한국 근현대사 교과서,2007,김육훈,휴머니스트,951.6 김66살
AJ1102581,정보컴퓨터공학전공,20140821,2009,(대하역사만화)박시백의 조선왕조실록,2005,박시백,휴머니스트,951.5 박58조
AJ1108644,소프트웨어융합전공,20140203,2013,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역세
AJ1105274,정보컴퓨터공학전공,20131028,2010,역사ⓔ,2013,역사채널ⓔ,북하우스,951 역52역세
AJ1107240,미디어학과,20131125,2012,서양문화사,2007,민석홍,서울대학교출판부,940 민54서개
AJ1106268,전자공학전공,20140903,2011,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1101586,전자공학전공,20110711,2008,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1103947,미디어학과,20110627,2009,로마인 이야기,2007,염야칠생,한길사,937 염62gK김
AJ1101827,전자공학전공,20140122,2008,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1107367,전자공학전공,20130701,2010,Enjoy 오사카,2007,최영민,넥서스BOOKS,915.3 최64e
AJ1105403,정보컴퓨터공학전공,20141215,2010,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1101582,전자공학전공,20141001,2008,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1101827,전자공학전공,20140122,2008,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1108818,미디어학과,20130819,2013,(클로즈업) 오사카,2012,유재우,에디터,915.3 유73오개증3
AJ1102935,전자공학전공,20150113,2009,(클로즈업) 오사카,2010,유재우,에디터,915.3 유73오
AJ1103899,전자공학전공,20140623,2009,오사카,2013,부루가이도편집부,시공사,915.3 실64오개4
AJ1109043,전자공학전공,20140611,2013,오사카,2013,부루가이도편집부,시공사,915.3 실64오개4
AJ1102858,전자공학전공,20131010,2009,홍콩,2007,환타,중앙북스,915.293504 환882홍
AJ1105206,정보컴퓨터공학전공,20141128,2010,(New) 내일로 기차로,2013,권다현,테라,915.1904 권22내2013
AJ1105151,전자공학전공,20141119,2010,유럽,2007,홍수연,랜덤하우스코리아,914.04 홍56유영
AJ1105215,정보컴퓨터공학전공,20140104,2010,유럽,2011,최철호,시공사,914.04 최83유
AJ1102538,전자공학전공,20130911,2009,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1106427,정보컴퓨터공학전공,20130710,2011,Best of Europe 230,2013,장백관,테라,914.04 장43b
AJ1105215,정보컴퓨터공학전공,20140104,2010,(자신만만 세계여행) 유럽,2011,이미지,삼성,914.04 이38유개8
AJ1100043,전자공학전공,20130916,2003,유럽,2008,박현숙,중앙북스,914.04 유294박
AJ1110337,소프트웨어융합전공,20140812,2014,(새로 만든) 먼나라 이웃나라,2012,이원복,김영사,914.004 이66먼전개
AJ1102957,전자공학전공,20131104,2009,(새로 만든) 먼나라 이웃나라,2012,이원복,김영사,914.004 이66먼전개
AJ1108730,전자공학전공,20130514,2013,(새로 만든) 먼나라 이웃나라,2012,이원복,김영사,914.004 이66먼전개
AJ1108818,미디어학과,20130523,2013,(새로 만든) 먼나라 이웃나라,2012,이원복,김영사,914.004 이66먼전개
AJ1103755,소프트웨어융합전공,20140415,2009,(21세기) 먼나라 이웃나라,2004,이원복,김영사,914.004 이66먼
AJ1103378,정보컴퓨터공학전공,20120910,2007,(21세기) 먼나라 이웃나라,2004,이원복,김영사,914.004 이66먼
AJ1103046,미디어학과,20120925,2009,새 먼나라 이웃나라,1998,이원복,김영사,914.004 이664먼새
AJ1103637,미디어학과,20120106,2009,(자신만만 세계여행) 유럽,2007,삼성출판사,삼성출판사,914 삼54유개5
AJ1103953,전자공학전공,20120723,2008,유럽 100배 즐기기,2007,랜덤하우스 중앙,랜덤하우스중앙,910.202 랜24유9
AJ1100831,미디어학과,20130515,2007,여행의 기술,2004,"Botton, Alain De",이레,910.01 B751aK정
AJ1101825,전자공학전공,20140404,2008,(과학과 기술로 본) 세계사 강의,2005,"McClellan, James III",모티브북,909 M478sK전
AJ1107528,정보컴퓨터공학전공,20140918,2012,(과학과 기술로 본) 세계사 강의,2005,"McClellan, James III",모티브북,909 M478sK전
AJ1102540,전자공학전공,20130903,2009,(과학과 기술로 본) 세계사 강의,2005,"McClellan, James III",모티브북,909 M478sK전
AJ1102803,정보컴퓨터공학전공,20130318,2009,(과학과 기술로 본) 세계사 강의,2005,"McClellan, James III",모티브북,909 M478sK전
AJ1102041,미디어학과,20130524,2008,역사란 무엇인가,2002,"Carr, Edward Hallet",까치,901.9 C311w개K김
AJ1102647,미디어학과,20110330,2009,역사란 무엇인가  -,1991,"Carr, E. H",다문,901.9 C311wK다
AJ1106422,정보컴퓨터공학전공,20131209,2011,서양 연극사 이야기,2001,"Barranger, Milly S",평민사,792.094 B268tK우
AJ1104648,미디어학과,20120608,2010,서양 연극사 이야기,2001,"Barranger, Milly S",평민사,792.094 B268tK우
AJ1100207,전자공학전공,20110705,2005,서양 연극사 이야기,2001,"Barranger, Milly S",평민사,792.094 B268tK우
AJ1104823,미디어학과,20110613,2011,서양 연극사 이야기,2001,"Barranger, Milly S",평민사,792.094 B268tK우
AJ1105677,미디어학과,20110610,2011,서양 연극사 이야기,2001,"Barranger, Milly S",평민사,792.094 B268tK우
AJ1100284,전자공학전공,20120607,2006,세계 연극사,2000,"Wilson, Edwin",한신문화사,792.09 W747LK김
AJ1103547,전자공학전공,20120608,2009,연극개론,2003,"Brockett, Oscar G",한신,792.01 B864tK김수
AJ1105677,미디어학과,20140415,2011,연극개론,2009,"Brockett, Oscar Gross",HS MEDIA,792.01 B864t4K김수
AJ1100436,정보컴퓨터공학전공,20121227,2006,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1103961,미디어학과,20110512,2010,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1110987,미디어학과,20140605,2012,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1109794,미디어학과,20140605,2012,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1109791,미디어학과,20140605,2012,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1108002,미디어학과,20131204,2012,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1108655,미디어학과,20130605,2013,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1102323,정보컴퓨터공학전공,20130604,2008,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1107603,미디어학과,20120427,2010,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1106945,미디어학과,20120328,2012,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1104823,미디어학과,20110613,2011,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1106236,미디어학과,20110614,2011,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1105823,소프트웨어융합전공,20141125,2011,화학공학 열역학,2005,"Smith, J.M",한국맥그로힐,660.2969 S653i7K김
